"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"ABACO, Evaristo Felice dall'",1675-1742,Concerti Op.6,,"Nr.2 E-Dur f.Violine,Streicher u.B.C.",,"0,00",Violine,,Muller-Bruhl,Kolner Kamorch.,, 1258,Schw  2 045,,,1
"ABACO, Guiseppe Clemente",1709-1805,Serenata,,,,"0,00",,,Muller-Bruhl,Kolner Kamorch.,,  767,Schw  3 000,,,2
"ABEL, Karl Friedrich",1723-1787,"Sinfonia concertante B-Dur f.Violine,Oboe,",Klarinette u.Orch.,,,"17,47","Violine,Oboe,Klarinette",,Schroder,Concerto Amsterdam,,  937 (2LP),BASF 29 21191-6,134,,3
"ABEL, Karl Friedrich",1723-1787,"Sinfonia concertante B-Dur f.Violine,Oboe,",Klarinette u.Orch.,,,"0,00","Violine,Oboe,Klarinette",,Brown,Consortium Classicum,, 1215 (5LP),EMI 157  30762/6,131,,4
"ABEL, Karl Friedrich",1723-1787,Sinfonien Op. 7 Nr.1-6,,Nr.6 Es-Dur,,"0,00",,,Lehan,Consortium Musicum,,  699,EMI 053  28396, 12,,5
"ADAM, Adolphe",1803-1856,Giselle (Ballett),,,,"0,00",,,Karajan,Wiener Philharm.,, 1177,Dec 6.41410,,,6
"ADAM, Adolphe",1803-1856,La Diable a Quatre (Ballett),,,,"0,00",,,Bonynge,London Symph.Orch.,,  419,Dec    6188,,,7
"AIBLINGER, Johann Kaspar",1779-1867,Avocata nostra Es-Dur Messe,,,,"26,58",,,Kirchberger,Solisten,, 1238,MB 70 903,,,8
"ALBENIZ, Isaac",1860-1909,Espana Op.165 Suite,,Nr.3 Malaguena,,"0,00",Harfe,Zabaleta,,,,  210,DG  138 890,,,9
"ALBENIZ, Isaac",1860-1909,Konzerte f.Klavier und Orchester,,Nr.1 Op.78,,"0,00",Klavier,Blumental,Zedda,Torino Symph.Orch.,,  467,Aud   101,,,10
"ALBENIZ, Isaac",1860-1909,Konzerte f.Klavier und Orchester,,Nr.1 Op.78,,"25,25",Klavier,Blumental,Zedda,Torino Symph.Orch.,,  841,FSM 34372,,,11
"ALBENIZ, Mateo Antonio",1755-1831,Sonate D-Dur,,,,"0,00",Harfe,Zabaleta,,,,  210,DG  138 890, 12, 24,12
